51,2,0
168,129,0
145,108,0
165,192,0
165,127,0
53,62,0
154,127,0
41,193,0
24,27,0
92,7,0
130,33,0
56,92,0
157,35,0
44,137,0
58,47,0
135,92,0
197,37,0
37,128,0
147,4,0
26,106,0
176,169,0
151,185,0
45,136,0
105,8,0
97,33,0
130,189,0
145,83,0
67,105,0
115,18,0
25,156,0
28,193,0
119,2,0
86,173,0
116,198,0
55,190,0
69,172,0
74,151,0
125,158,0
30,38,0
21,85,0
185,108,0
38,81,0
165,52,0
153,50,0
135,133,0
183,33,0
78,17,0
6,53,0
53,130,0
28,45,0
36,14,0
38,186,0
79,152,0
157,87,0
99,40,0
57,103,0
91,138,0
188,93,0
67,114,0
44,5,0
198,57,0
101,108,0
169,118,0
40,21,0
121,128,0
188,186,0
32,179,0
12,83,0
14,98,0
124,8,0
166,108,0
88,149,0
110,139,0
52,189,0
18,194,0
68,11,0
129,136,0
148,64,0
70,73,0
125,87,0
18,66,0
110,79,0
6,177,0
81,177,0
27,4,0
140,71,0
32,40,0
49,105,0
191,131,0
95,191,0
55,11,0
105,6,0
30,132,0
167,161,0
121,44,0
136,151,0
175,193,0
55,77,0
185,72,0
82,118,0
249,218,0
270,263,0
215,269,0
395,314,0
355,250,0
364,203,0
292,236,0
295,297,0
300,255,0
344,340,0
346,381,0
329,321,0
227,350,0
218,333,0
344,299,0
299,312,0
207,374,0
380,245,0
366,341,0
231,342,0
251,250,0
253,329,0
343,307,0
222,372,0
253,309,0
279,352,0
209,211,0
355,200,0
248,397,0
283,214,0
399,246,0
325,203,0
276,246,0
368,372,0
392,343,0
233,348,0
378,390,0
236,284,0
294,349,0
341,346,0
272,309,0
225,294,0
361,304,0
305,373,0
272,229,0
247,354,0
288,393,0
344,316,0
209,295,0
258,314,0
313,370,0
233,262,0
363,213,0
263,357,0
370,303,0
335,260,0
270,256,0
290,372,0
308,244,0
395,342,0
259,345,0
307,332,0
271,258,0
268,236,0
316,258,0
394,250,0
320,266,0
272,309,0
307,296,0
381,315,0
299,271,0
258,220,0
289,245,0
250,327,0
376,222,0
295,378,0
316,202,0
283,285,0
376,273,0
386,265,0
364,309,0
337,290,0
384,220,0
224,367,0
204,266,0
292,309,0
225,287,0
317,291,0
283,261,0
301,366,0
315,200,0
318,212,0
354,226,0
208,259,0
207,397,0
255,217,0
297,376,0
232,360,0
256,260,0
327,329,0
705,112,0
603,196,0
807,175,0
443,130,0
454,185,0
820,197,0
494,127,0
954,165,0
505,144,0
915,101,0
879,153,0
